flavor,flavor2,pairing_count,avg_rating,avg_success
plum,raspberry,5,3.7,0.26
almond,mascarpone,14,3.68,0.67
chocolate,lavender,3,3.67,0.89
cinnamon,yam,6,3.67,0.77
champagne,mascarpone,6,3.67,0.77
coffee,hazelnut,9,3.67,0.75
chocolate,rose,6,3.67,0.72
cocoa,rose,3,3.67,0.64
pear,pomegranate,3,3.67,0.63
brandy,graham,3,3.67,0.63
hazelnut,raisin,3,3.67,0.6
coconut,pepper,3,3.67,0.59
lemon,yam,3,3.67,0.59
graham,oat,3,3.67,0.57
honey,rum,9,3.67,0.55
apple,bay,2,3.67,0.49
allspice,pineapple,3,3.67,0.37
cardamom,mint,3,3.67,0.36
graham,peach,6,3.67,0.22
fig,mint,3,3.67,0.1
date,rum,3,3.67,0.1
coffee,vodka,3,3.67,0.1
blueberry,graham,10,3.65,0.72
mango,raspberry,10,3.65,0.4
apple,fig,11,3.64,0.42
champagne,coffee,4,3.63,0.89
lavender,vanilla,4,3.63,0.71
carrot,walnut,12,3.63,0.7
lime,mascarpone,4,3.63,0.65
pomegranate,walnut,4,3.63,0.65
blackberry,mascarpone,4,3.63,0.52
cashew,pecan,4,3.63,0.48
lime,walnut,4,3.63,0.43
blackberry,hazelnut,4,3.63,0.4
almond,lavender,4,3.63,0.38
fig,ricotta,4,3.63,0.31
lemon,whiskey,4,3.63,0.29
ginger,strawberry,14,3.61,0.55
graham,raspberry,14,3.61,0.54
cherry,date,5,3.6,0.68
cardamom,coconut,5,3.6,0.55
fig,raisin,10,3.6,0.55
pecan,strawberry,5,3.6,0.54
fig,pistachio,5,3.6,0.53
hazelnut,mascarpone,6,3.58,0.72
cherry,hazelnut,12,3.58,0.63
pineapple,walnut,6,3.58,0.62
cardamom,cherry,6,3.58,0.49
cranberry,raspberry,6,3.58,0.47
cherry,maple,6,3.58,0.43
mint,rhubarb,6,3.58,0.41
blackberry,plum,6,3.58,0.35
chocolate,whiskey,7,3.57,0.74
mascarpone,pear,7,3.57,0.63
hazelnut,mint,7,3.57,0.6
lavender,lemon,7,3.57,0.56
carrot,lemon,7,3.57,0.54
graham,hazelnut,8,3.56,0.91
almond,rhubarb,8,3.56,0.74
champagne,strawberry,8,3.56,0.6
pecan,whiskey,8,3.56,0.57
clove,date,9,3.56,0.54
strawberry,walnut,8,3.56,0.36
carrot,pineapple,10,3.55,0.81
brandy,mascarpone,10,3.55,0.76
carrot,raisin,11,3.55,0.68
clove,pineapple,10,3.55,0.59
blackberry,strawberry,30,3.55,0.56
almond,fig,11,3.55,0.44
brandy,coffee,14,3.54,0.61
plum,strawberry,1,3.5,0.98
grape,plum,1,3.5,0.98
blackberry,graham,1,3.5,0.98
banana,fig,1,3.5,0.97
lemon,zucchini,1,3.5,0.97
basil,pineapple,1,3.5,0.97
blueberry,lavender,1,3.5,0.97
grape,rum,1,3.5,0.96
blackberry,coffee,1,3.5,0.95
cinnamon,gingerbread,1,3.5,0.95
basil,mango,2,3.5,0.95
cardamom,gingerbread,1,3.5,0.95
allspice,rose,1,3.5,0.95
mango,pepper,2,3.5,0.95
orange,zucchini,2,3.5,0.95
blueberry,pepper,1,3.5,0.94
oatmeal,peanut,1,3.5,0.94
fennel,hazelnut,1,3.5,0.94
cashew,cranberry,1,3.5,0.94
pineapple,pumpkin,2,3.5,0.94
caramel,whisky,1,3.5,0.94
graham,rhubarb,1,3.5,0.94
fig,rosemary,1,3.5,0.94
mascarpone,rosemary,1,3.5,0.94
chestnut,lime,1,3.5,0.93
caramel,hazelnut,1,3.5,0.93
ginger,oatmeal,1,3.5,0.93
cardamom,fennel,2,3.5,0.93
nutmeg,oatmeal,1,3.5,0.93
cardamom,oatmeal,1,3.5,0.93
chestnut,graham,1,3.5,0.93
clove,oatmeal,1,3.5,0.93
pistachio,saffron,2,3.5,0.92
rosemary,tomato,1,3.5,0.92
cocoa,lime,1,3.5,0.92
cilantro,pepper,1,3.5,0.92
pecan,whisky,2,3.5,0.92
allspice,yam,1,3.5,0.92
pumpkin,whiskey,1,3.5,0.92
cilantro,coconut,1,3.5,0.92
cilantro,ginger,1,3.5,0.92
graham,lavender,1,3.5,0.92
cinnamon,sage,1,3.5,0.92
mint,zucchini,1,3.5,0.92
allspice,coconut,3,3.5,0.92
blueberry,pear,3,3.5,0.92
basil,cilantro,1,3.5,0.92
cilantro,lime,1,3.5,0.92
pumpkin,sage,1,3.5,0.92
allspice,sage,1,3.5,0.92
cherry,sage,1,3.5,0.92
allspice,whiskey,1,3.5,0.92
cashew,pear,1,3.5,0.9
pepper,pineapple,2,3.5,0.9
pepper,tomato,1,3.5,0.9
cinnamon,curry,1,3.5,0.9
pretzel,strawberry,1,3.5,0.9
cherry,plum,2,3.5,0.9
date,pear,1,3.5,0.9
cashew,pistachio,3,3.5,0.9
curry,graham,1,3.5,0.9
carrot,raspberry,1,3.5,0.9
banana,carrot,1,3.5,0.9
curry,lemon,1,3.5,0.9
carrot,coffee,1,3.5,0.9
lemon,tomato,1,3.5,0.9
tomato,vanilla,1,3.5,0.9
cocoa,vodka,1,3.5,0.89
avocado,hazelnut,1,3.5,0.89
champagne,cocoa,2,3.5,0.89
almond,rosemary,1,3.5,0.89
apricot,sage,1,3.5,0.89
hazelnut,marshmallow,1,3.5,0.89
avocado,maple,1,3.5,0.89
grape,peach,3,3.5,0.89
marshmallow,orange,2,3.5,0.89
blueberry,cherry,1,3.5,0.89
nutmeg,zucchini,1,3.5,0.88
cranberry,marshmallow,1,3.5,0.88
ginger,zucchini,1,3.5,0.88
coffee,strawberry,3,3.5,0.88
rhubarb,whiskey,1,3.5,0.88
fig,oat,1,3.5,0.88
blackberry,cherry,2,3.5,0.88
pepper,rum,1,3.5,0.88
caramel,rhubarb,1,3.5,0.88
clove,whisky,1,3.5,0.87
clove,fennel,3,3.5,0.87
cocoa,lavender,2,3.5,0.87
walnut,yam,1,3.5,0.87
coffee,zucchini,1,3.5,0.87
allspice,raspberry,2,3.5,0.87
orange,whisky,2,3.5,0.87
blackberry,rosemary,1,3.5,0.87
rum,yam,1,3.5,0.87
pear,strawberry,5,3.5,0.87
allspice,whisky,1,3.5,0.87
avocado,orange,2,3.5,0.87
banana,garlic,1,3.5,0.86
garlic,lemon,1,3.5,0.86
cashew,garlic,1,3.5,0.86
ricotta,yam,1,3.5,0.86
chocolate,garlic,1,3.5,0.86
garlic,orange,1,3.5,0.86
cherry,mango,1,3.5,0.86
graham,pistachio,1,3.5,0.86
brandy,cashew,1,3.5,0.86
graham,pomegranate,2,3.5,0.86
garlic,vanilla,1,3.5,0.86
chamomile,honey,1,3.5,0.86
plum,raisin,1,3.5,0.86
raisin,whisky,1,3.5,0.86
hazelnut,rose,1,3.5,0.86
cinnamon,whisky,3,3.5,0.86
chamomile,rum,1,3.5,0.86
pumpkin,whisky,1,3.5,0.86
grape,ricotta,1,3.5,0.86
chamomile,pear,1,3.5,0.86
chamomile,raisin,1,3.5,0.86
cocoa,garlic,1,3.5,0.86
carrot,cocoa,3,3.5,0.85
cayenne,pumpkin,1,3.5,0.85
mint,vodka,1,3.5,0.85
rosemary,vanilla,3,3.5,0.85
pumpkin,tequila,1,3.5,0.85
coconut,ricotta,2,3.5,0.85
nutmeg,tequila,1,3.5,0.85
ginger,tequila,1,3.5,0.85
pistachio,tahini,1,3.5,0.84
carrot,chocolate,5,3.5,0.84
blackberry,date,2,3.5,0.84
caramel,strawberry,2,3.5,0.84
graham,yam,2,3.5,0.84
allspice,tequila,2,3.5,0.84
caramel,cranberry,1,3.5,0.83
hazelnut,whisky,1,3.5,0.83
brandy,pineapple,3,3.5,0.83
peanut,pecan,1,3.5,0.83
rhubarb,rum,1,3.5,0.83
lemongrass,mint,1,3.5,0.83
bay,brandy,2,3.5,0.82
cherry,whisky,1,3.5,0.82
lemon,marshmallow,1,3.5,0.82
coffee,whisky,2,3.5,0.82
vanilla,whisky,5,3.5,0.82
apple,whisky,1,3.5,0.82
peanut,pepper,2,3.5,0.82
plum,ricotta,2,3.5,0.82
cranberry,tequila,1,3.5,0.82
clove,mango,1,3.5,0.81
clove,pistachio,7,3.5,0.81
mango,plum,1,3.5,0.8
anise,maple,1,3.5,0.8
mascarpone,pecan,6,3.5,0.8
fig,pumpkin,1,3.5,0.8
champagne,hazelnut,1,3.5,0.79
allspice,blueberry,3,3.5,0.79
pineapple,plum,2,3.5,0.78
peach,walnut,1,3.5,0.78
oat,plum,6,3.5,0.77
hazelnut,pecan,3,3.5,0.77
grape,raisin,2,3.5,0.77
walnut,whiskey,2,3.5,0.77
banana,whisky,1,3.5,0.77
avocado,coffee,1,3.5,0.75
bay,blackberry,1,3.5,0.75
thyme,walnut,1,3.5,0.75
pepper,ricotta,1,3.5,0.75
cinnamon,zucchini,5,3.5,0.75
anise,carrot,1,3.5,0.75
cardamom,thyme,1,3.5,0.75
caramel,pistachio,1,3.5,0.75
curry,strawberry,1,3.5,0.75
curry,orange,1,3.5,0.75
coffee,graham,4,3.5,0.75
caramel,curry,1,3.5,0.75
pepper,plum,1,3.5,0.75
allspice,bay,1,3.5,0.75
nutmeg,thyme,1,3.5,0.75
allspice,gingerbread,1,3.5,0.75
curry,pepper,1,3.5,0.75
gingerbread,nutmeg,1,3.5,0.75
curry,peanut,1,3.5,0.75
banana,hazelnut,3,3.5,0.72
blueberry,pecan,7,3.5,0.72
graham,lime,18,3.5,0.71
hazelnut,walnut,6,3.5,0.69
cinnamon,whiskey,6,3.5,0.68
graham,nutmeg,8,3.5,0.67
mascarpone,strawberry,20,3.5,0.67
almond,whiskey,1,3.5,0.67
bay,clove,6,3.5,0.67
almond,mango,4,3.5,0.67
basil,ginger,3,3.5,0.66
apricot,oat,7,3.5,0.65
grape,strawberry,12,3.5,0.64
marshmallow,nutmeg,4,3.5,0.64
graham,mascarpone,4,3.5,0.64
date,hazelnut,3,3.5,0.63
nutmeg,yam,4,3.5,0.63
apple,rhubarb,2,3.5,0.63
rhubarb,walnut,6,3.5,0.63
cranberry,fig,7,3.5,0.62
lime,pepper,6,3.5,0.62
cocoa,raisin,5,3.5,0.61
pineapple,tequila,3,3.5,0.61
allspice,hazelnut,4,3.5,0.61
champagne,pear,3,3.5,0.61
avocado,vanilla,4,3.5,0.61
anise,strawberry,3,3.5,0.6
peach,tarragon,1,3.5,0.6
cranberry,raisin,15,3.5,0.6
mascarpone,rose,2,3.5,0.6
curry,rum,3,3.5,0.58
cardamom,rum,5,3.5,0.58
raspberry,rhubarb,10,3.5,0.58
blackberry,pecan,5,3.5,0.57
avocado,cocoa,3,3.5,0.57
cashew,raisin,3,3.5,0.57
allspice,carrot,5,3.5,0.56
brandy,date,7,3.5,0.56
honey,lavender,7,3.5,0.54
coconut,mascarpone,3,3.5,0.54
apple,basil,1,3.5,0.54
clove,raspberry,5,3.5,0.53
ginger,hazelnut,12,3.5,0.53
basil,pepper,8,3.5,0.52
ginger,pistachio,8,3.5,0.52
rose,saffron,2,3.5,0.51
nutmeg,whiskey,2,3.5,0.51
fennel,raspberry,2,3.5,0.51
pecan,yam,2,3.5,0.51
apricot,caramel,2,3.5,0.51
cashew,lime,1,3.5,0.5
chocolate,vodka,2,3.5,0.5
pepper,raisin,2,3.5,0.49
clove,mascarpone,7,3.5,0.49
bay,cardamom,2,3.5,0.49
lime,peanut,3,3.5,0.48
blueberry,rose,1,3.5,0.47
champagne,rose,2,3.5,0.47
brandy,cranberry,12,3.5,0.47
marshmallow,yam,2,3.5,0.46
blueberry,cranberry,2,3.5,0.46
lavender,orange,2,3.5,0.46
anise,rhubarb,2,3.5,0.45
caramel,pear,2,3.5,0.45
basil,blueberry,2,3.5,0.45
cinnamon,rosemary,2,3.5,0.45
pistachio,walnut,8,3.5,0.44
fennel,fig,2,3.5,0.43
ricotta,walnut,5,3.5,0.43
allspice,date,5,3.5,0.43
curry,lime,2,3.5,0.43
blackberry,pear,2,3.5,0.43
pineapple,whiskey,2,3.5,0.43
curry,pineapple,2,3.5,0.43
allspice,strawberry,2,3.5,0.43
apricot,ricotta,2,3.5,0.42
grape,mint,12,3.5,0.41
cocoa,pretzel,4,3.5,0.41
marshmallow,strawberry,2,3.5,0.41
maple,whiskey,2,3.5,0.41
avocado,chocolate,2,3.5,0.41
peanut,pineapple,2,3.5,0.39
basil,lemon,10,3.5,0.37
carrot,clove,3,3.5,0.37
hazelnut,rhubarb,5,3.5,0.36
basil,vanilla,10,3.5,0.33
champagne,grape,3,3.5,0.3
marshmallow,peanut,2,3.5,0.3
caramel,lime,2,3.5,0.3
cucumber,pepper,2,3.5,0.3
caramel,walnut,3,3.5,0.29
graham,raisin,3,3.5,0.29
mascarpone,pistachio,6,3.5,0.28
basil,raspberry,4,3.5,0.25
allspice,plum,6,3.5,0.24
lime,nutmeg,5,3.5,0.21
cranberry,thyme,1,3.5,0.1
cayenne,cocoa,1,3.5,0.1
brandy,rosemary,1,3.5,0.1
orange,thyme,1,3.5,0.1
cocoa,tahini,1,3.5,0.1
lavender,rosemary,1,3.5,0.1
pecan,ricotta,2,3.5,0.1
lavender,tarragon,1,3.5,0.1
blackberry,lavender,1,3.5,0.1
date,grape,1,3.5,0.1
chestnut,nutmeg,1,3.5,0.1
cocoa,tequila,1,3.5,0.1
lavender,pecan,1,3.5,0.1
carrot,mascarpone,1,3.5,0.1
basil,tarragon,1,3.5,0.1
cardamom,peanut,1,3.5,0.1
peach,whiskey,1,3.5,0.1
date,pumpkin,1,3.5,0.1
chestnut,date,1,3.5,0.1
coconut,hibiscus,1,3.5,0.1
mango,pistachio,1,3.5,0.1
blueberry,rosemary,1,3.5,0.1
coconut,tahini,1,3.5,0.1
anise,pomegranate,2,3.5,0.1
peach,rosemary,1,3.5,0.1
fennel,maple,1,3.5,0.1
hibiscus,raspberry,1,3.5,0.1
apricot,thyme,1,3.5,0.1
clove,rosemary,1,3.5,0.1
pear,rhubarb,2,3.5,0.1
mint,rosemary,1,3.5,0.1
honey,yam,1,3.5,0.1
coconut,mochi,1,3.5,0.1
blueberry,hibiscus,1,3.5,0.1
lavender,saffron,1,3.5,0.1
lavender,peach,1,3.5,0.1
carrot,lime,1,3.5,0.1
grape,oat,1,3.5,0.1
pecan,rosemary,1,3.5,0.1
brandy,ricotta,1,3.5,0.1
hibiscus,orange,1,3.5,0.1
lavender,mint,1,3.5,0.1
cayenne,clove,1,3.5,0.1
blackberry,maple,1,3.5,0.1
blackberry,grape,1,3.5,0.1
mint,tarragon,1,3.5,0.1
grape,pistachio,2,3.5,0.1
allspice,rhubarb,2,3.5,0.1
mango,matcha,1,3.5,0.1
cayenne,coffee,1,3.5,0.1
lavender,pear,1,3.5,0.1
raisin,tahini,1,3.5,0.1
basil,lavender,1,3.5,0.1
fennel,tarragon,1,3.5,0.1
fennel,mascarpone,1,3.5,0.1
lime,tarragon,2,3.5,0.1
fennel,strawberry,2,3.5,0.1
champagne,peach,1,3.5,0.1
plum,rosemary,1,3.5,0.1
thyme,vodka,1,3.5,0.1
mascarpone,tarragon,1,3.5,0.1
basil,orange,1,3.5,0.1
cardamom,earl,1,3.5,0.1
lavender,pistachio,1,3.5,0
almond,hazelnut,27,3.48,0.63
ginger,pineapple,23,3.48,0.59
carrot,vanilla,18,3.47,0.72
carrot,cinnamon,29,3.47,0.7
blueberry,oat,12,3.46,0.82
pumpkin,rum,13,3.46,0.8
almond,pumpkin,13,3.46,0.46
allspice,pecan,20,3.45,0.77
hazelnut,raspberry,21,3.45,0.71
nutmeg,pepper,11,3.45,0.64
honey,mascarpone,10,3.45,0.62
ginger,raspberry,21,3.45,0.57
apple,pepper,8,3.45,0.57
cherry,nutmeg,22,3.45,0.55
pear,pecan,10,3.45,0.52
clove,strawberry,10,3.45,0.48
raspberry,strawberry,73,3.45,0.48
champagne,lemon,11,3.45,0.42
graham,rum,8,3.44,0.78
cranberry,pistachio,9,3.44,0.77
vanilla,yam,9,3.44,0.62
blackberry,oat,9,3.44,0.51
cherry,rum,8,3.44,0.38
coconut,graham,14,3.43,0.72
plum,walnut,7,3.43,0.64
coconut,coffee,7,3.43,0.6
date,nutmeg,14,3.43,0.54
nutmeg,pistachio,6,3.42,0.81
oat,peanut,11,3.42,0.7
marshmallow,pecan,6,3.42,0.69
nutmeg,pecan,56,3.42,0.66
ginger,walnut,33,3.42,0.64
fig,mascarpone,6,3.42,0.58
anise,pear,6,3.42,0.55
brandy,maple,12,3.42,0.55
cardamom,raisin,13,3.42,0.55
graham,mint,6,3.42,0.53
pepper,strawberry,13,3.42,0.46
mint,strawberry,58,3.42,0.44
cashew,lemon,6,3.42,0.42
rum,walnut,17,3.41,0.68
banana,nutmeg,11,3.41,0.66
ginger,plum,11,3.41,0.65
lemon,mascarpone,40,3.41,0.55
cardamom,walnut,17,3.41,0.55
caramel,nutmeg,5,3.4,0.83
blueberry,cocoa,5,3.4,0.82
coconut,pumpkin,5,3.4,0.71
honey,plum,10,3.4,0.7
oat,pecan,25,3.4,0.69
cashew,date,5,3.4,0.69
almond,cashew,10,3.4,0.66
lemon,pecan,55,3.4,0.62
cashew,walnut,5,3.4,0.61
cherry,coconut,10,3.4,0.59
almond,raspberry,72,3.4,0.57
cardamom,pineapple,5,3.4,0.54
cardamom,strawberry,15,3.4,0.52
apricot,fig,10,3.4,0.48
nutmeg,strawberry,10,3.4,0.48
cherry,graham,5,3.4,0.42
cherry,pineapple,10,3.4,0.36
vanilla,zucchini,9,3.39,0.78
almond,blueberry,19,3.39,0.73
almond,graham,23,3.39,0.66
almond,strawberry,45,3.39,0.61
pomegranate,vanilla,9,3.39,0.6
allspice,pear,14,3.39,0.57
pecan,raisin,22,3.39,0.56
cinnamon,raspberry,36,3.39,0.54
brandy,ginger,23,3.39,0.51
cherry,raspberry,9,3.39,0.49
graham,mango,4,3.38,0.85
cranberry,rum,8,3.38,0.74
coconut,walnut,8,3.38,0.71
mascarpone,nutmeg,8,3.38,0.69
clove,rhubarb,4,3.38,0.68
chocolate,hazelnut,112,3.38,0.66
clove,plum,4,3.38,0.66
mascarpone,rhubarb,4,3.38,0.65
brandy,pumpkin,4,3.38,0.65
blueberry,grape,4,3.38,0.64
cocoa,plum,4,3.38,0.62
almond,coffee,32,3.38,0.61
chocolate,raisin,16,3.38,0.6
raspberry,walnut,12,3.38,0.58
mint,plum,4,3.38,0.58
brandy,rum,8,3.38,0.58
brandy,raisin,22,3.38,0.56
banana,pear,4,3.38,0.53
brandy,plum,8,3.38,0.52
pear,pineapple,4,3.38,0.51
apricot,blueberry,4,3.38,0.5
champagne,mint,4,3.38,0.48
oat,pistachio,8,3.38,0.42
cherry,oat,15,3.37,0.69
ginger,mascarpone,15,3.37,0.63
nutmeg,pineapple,11,3.36,0.77
carrot,orange,7,3.36,0.76
oat,strawberry,7,3.36,0.74
graham,pecan,14,3.36,0.73
pear,rose,3,3.36,0.73
blackberry,walnut,7,3.36,0.7
cocoa,hazelnut,38,3.36,0.67
blackberry,ginger,14,3.36,0.65
brandy,strawberry,18,3.36,0.57
curry,vanilla,7,3.36,0.56
caramel,cocoa,7,3.36,0.54
allspice,almond,21,3.36,0.54
cardamom,date,7,3.36,0.52
blackberry,raspberry,53,3.36,0.51
fig,ginger,11,3.36,0.41
allspice,rum,17,3.35,0.78
cinnamon,mascarpone,17,3.35,0.68
grape,orange,17,3.35,0.61
ginger,raisin,31,3.35,0.56
blackberry,blueberry,37,3.35,0.55
cardamom,honey,27,3.35,0.55
cherry,clove,17,3.35,0.43
apple,cherry,21,3.35,0.36
pecan,pumpkin,28,3.34,0.73
peach,pecan,16,3.34,0.58
hazelnut,honey,16,3.34,0.54
apricot,raspberry,22,3.34,0.53
allspice,raisin,22,3.34,0.5
walnut,zucchini,3,3.33,0.89
clove,graham,3,3.33,0.89
cocoa,zucchini,6,3.33,0.88
raspberry,ricotta,3,3.33,0.87
brandy,coconut,3,3.33,0.85
cranberry,lime,3,3.33,0.82
orange,yam,3,3.33,0.82
banana,graham,6,3.33,0.82
almond,carrot,3,3.33,0.82
allspice,oat,5,3.33,0.8
allspice,mascarpone,3,3.33,0.78
apricot,mascarpone,3,3.33,0.78
cocoa,graham,9,3.33,0.7
caramel,rum,6,3.33,0.68
lemon,rosemary,3,3.33,0.61
cocoa,pepper,3,3.33,0.6
cayenne,vanilla,3,3.33,0.6
brandy,orange,38,3.33,0.59
cranberry,mascarpone,3,3.33,0.59
orange,peach,21,3.33,0.58
apricot,graham,3,3.33,0.58
cardamom,orange,48,3.33,0.57
graham,ricotta,3,3.33,0.56
cranberry,pineapple,3,3.33,0.56
cherry,cranberry,6,3.33,0.55
cayenne,ginger,3,3.33,0.54
apricot,ginger,29,3.33,0.51
cherry,pear,18,3.33,0.49
brandy,pistachio,3,3.33,0.47
hibiscus,lemon,3,3.33,0.4
mascarpone,walnut,6,3.33,0.4
pistachio,strawberry,15,3.33,0.39
caramel,cherry,3,3.33,0.39
peach,raisin,3,3.33,0.38
cherry,ricotta,6,3.33,0.37
coffee,raisin,3,3.33,0.35
brandy,pepper,3,3.33,0.34
cranberry,date,3,3.33,0.33
ricotta,rum,3,3.33,0.29
cardamom,lime,6,3.33,0.08
fig,nutmeg,11,3.32,0.71
allspice,cranberry,22,3.32,0.62
brandy,hazelnut,11,3.32,0.57
coconut,raisin,11,3.32,0.47
cinnamon,lime,11,3.32,0.28
pineapple,strawberry,17,3.32,0.26
chocolate,cranberry,32,3.31,0.73
cinnamon,rhubarb,21,3.31,0.72
ginger,nutmeg,125,3.31,0.66
ricotta,strawberry,8,3.31,0.64
brandy,cocoa,26,3.31,0.6
lemon,raspberry,150,3.31,0.54
peanut,raisin,5,3.3,0.82
cinnamon,fennel,5,3.3,0.81
allspice,pumpkin,45,3.3,0.79
mascarpone,pumpkin,5,3.3,0.77
nutmeg,oat,24,3.3,0.74
graham,walnut,10,3.3,0.74
cherry,mascarpone,5,3.3,0.74
hazelnut,pear,15,3.3,0.74
champagne,vanilla,5,3.3,0.72
cranberry,hazelnut,5,3.3,0.71
allspice,orange,32,3.3,0.63
apricot,pumpkin,5,3.3,0.62
clove,cranberry,22,3.3,0.62
brandy,walnut,20,3.3,0.61
ginger,mint,20,3.3,0.6
apple,tequila,2,3.3,0.59
honey,pecan,30,3.3,0.57
blackberry,orange,23,3.3,0.57
brandy,nutmeg,32,3.3,0.57
banana,orange,20,3.3,0.55
blueberry,strawberry,42,3.3,0.54
cinnamon,fig,35,3.3,0.53
champagne,raspberry,10,3.3,0.49
almond,pistachio,43,3.3,0.48
hazelnut,pistachio,5,3.3,0.48
blackberry,cardamom,5,3.3,0.47
honey,pistachio,27,3.3,0.47
brandy,pecan,15,3.3,0.43
basil,strawberry,10,3.3,0.42
apple,date,8,3.3,0.4
blueberry,plum,5,3.3,0.4
anise,plum,5,3.3,0.25
blackberry,chocolate,12,3.29,0.73
almond,pineapple,12,3.29,0.72
carrot,nutmeg,14,3.29,0.72
hazelnut,oat,7,3.29,0.68
chocolate,raspberry,111,3.29,0.66
almond,pecan,21,3.29,0.53
apricot,cardamom,7,3.29,0.48
cardamom,nutmeg,27,3.28,0.71
clove,pecan,23,3.28,0.71
cocoa,raspberry,30,3.28,0.67
clove,fig,16,3.28,0.64
allspice,honey,20,3.28,0.62
lemon,rose,13,3.28,0.61
apple,cranberry,40,3.28,0.59
clove,honey,40,3.28,0.57
cherry,cinnamon,69,3.28,0.53
allspice,cocoa,9,3.28,0.46
mint,orange,55,3.28,0.43
cardamom,chocolate,13,3.27,0.68
cinnamon,ginger,335,3.27,0.66
cherry,cocoa,24,3.27,0.65
blueberry,chocolate,15,3.27,0.64
pecan,vanilla,276,3.27,0.63
cashew,honey,11,3.27,0.63
cinnamon,pecan,132,3.27,0.63
cinnamon,strawberry,35,3.27,0.57
hazelnut,lemon,31,3.27,0.56
nutmeg,raspberry,13,3.27,0.54
